,city1,city2,distance
0,Qingdao,Buenos Aires,1.0
1,Lima,Bangkok,0.9940178785365249
2,Nanjing,Buenos Aires,0.990703830106861
3,Buenos Aires,Shanghai Shi,0.9906065735031275
4,Buenos Aires,Suzhou,0.9904916805798054
5,Lima,Ho Chi Minh City,0.9891235329170545
6,Jinan,Buenos Aires,0.987002303168679
7,Buenos Aires,Dalian,0.9853595529717161
8,Hefei,Buenos Aires,0.984539163346645
9,Hangzhou,Buenos Aires,0.9843459741329134
10,Buenos Aires,Seoul,0.9805826284616086
11,Tianjin Shi,Buenos Aires,0.9776239524951938
12,Zhengzhou,Buenos Aires,0.9739102769196024
13,Beijing Shi,Buenos Aires,0.9722692088515454
14,Wuhan,Buenos Aires,0.969262315635836
15,Buenos Aires,Hukuoka,0.969101584821518
16,Buenos Aires,Shenyang,0.9690801415238284
17,Lima,Yangon,0.9650515435201996
18,Lima,Kuala Lumpur,0.9593027993359414
19,Changsha,Buenos Aires,0.9563109989664172
20,Buenos Aires,Changchun,0.9554984667391982
21,Hukuoka,Sao Paulo,0.9515629030935754
22,Buenos Aires,Oosaka,0.9508082705661165
23,Oosaka,Sao Paulo,0.9499013129472439
24,Lima,Central Singapore,0.9491887242200565
25,Dki Jakarta,Santiago,0.9483828208681121
26,Buenos Aires,Shantou,0.9423235435626384
27,Lima,Kunming,0.9378742058518931
28,Shanghai Shi,Sao Paulo,0.9371539725445203
29,Tookyoo,Sao Paulo,0.9350517756889677
30,Hangzhou,Sao Paulo,0.9347197611168419
31,Buenos Aires,Dongguan,0.9345104168885131
32,Central Singapore,Santiago,0.9344654859212276
33,Buenos Aires,Guangzhou,0.9338293622654521
34,Buenos Aires,Chongqing Shi,0.9337467114462724
35,Suzhou,Sao Paulo,0.9333667096546557
36,Buenos Aires,Foshan,0.9329455609006561
37,Buenos Aires,Shenzhen,0.9328760105993419
38,Santiago,Kuala Lumpur,0.9308495536766539
39,Oosaka,Belo Horizonte,0.9294738714499138
40,Lima,Foshan,0.9283374453119202
41,Hukuoka,Belo Horizonte,0.9281798022327536
42,Lima,Chittagong,0.9275397676280104
43,Lima,Guangzhou,0.9273997269912541
44,Lima,Shenzhen,0.9268719586158345
45,Tookyoo,Buenos Aires,0.9268447261341223
46,Lima,Dongguan,0.9261257194839468
